age,income,education,purchase
30,50000,1,1
25,30000,0,0
40,70000,2,1
35,60000,1,1
20,20000,0,0
45,80000,2,1
28,45000,1,1
32,55000,0,0
50,90000,3,1
22,25000,0,0
38,65000,1,1
33,58000,2,1
27,40000,1,0
48,85000,3,1
26,35000,0,0
42,72000,2,1
29,48000,1,1
31,52000,0,0
47,88000,2,1
23,28000,0,0
39,67000,1,1
34,60000,2,1
21,22000,0,0
46,82000,3,1
24,32000,1,0
41,75000,2,1
36,62000,1,1
37,64000,2,1
49,89000,3,1
25,30000,0,0
28,45000,1,1
30,50000,2,1
32,55000,0,0
35,60000,1,1
40,70000,3,1
22,25000,0,0
24,32000,1,0
26,35000,2,1
28,45000,1,1
30,50000,0,0
33,58000,2,1
35,60000,1,1
38,65000,3,1
27,40000,1,0
29,48000,2,1
31,52000,1,1
34,60000,0,0
36,62000,2,1
39,67000,1,1
42,72000,3,1
44,78000,2,1
