Hours_Studied,Previous_Exam_Score,Exam_Outcome
5.49,64,pass
5.39,74.77,pass
8,89.75,pass
4,41.75,fail
6.26,82.16,pass
9.41,96.55,pass
9.71,87,pass
2.84,79.11,pass
1.21,70,fail
6.64,57.03,pass
2.05,46,fail
7.4,87.89,pass
5.09,68.97,pass
1.28,89,pass
5.28,70.84,pass
2.38,86.01,pass
2.21,32.01,fail
5.22,29,fail
6,94.92,pass
3.96,73.07,pass
2.18,99,pass
8.49,47.47,pass
8.2,74.69,pass
3.38,49.78,fail
3.88,56,pass
7.56,67.51,pass
2.01,82.25,pass
3.31,73.02,pass
2,51.57,fail
5.9,57.18,pass
1.04,41.56,fail
9.05,77,pass
5.36,73.7,pass
5.5,74.87,pass
8.44,60.55,pass
8.53,91,pass
2.32,62.73,fail
3.41,99.94,pass
1,53.69,fail
3.8,91,pass
4,69,pass
5,78.34,pass
8,93,pass
7.73,94.87,pass
8.57,51.71,pass
5.92,77.86,pass
9.9,55.09,pass
3,66,pass
4,45,fail
6,84,pass
7,79,pass
8,62,pass
1,33,fail
9,91,pass
