age,gender,estimated_salary,purchased
35,Male,55000,1
28,Female,40000,0
42,Male,75000,1
45,Female,80000,1
30,Male,60000,0
50,Female,90000,1
20,Female,30000,0
38,Male,65000,1
48,Female,85000,1
25,Male,45000,0
33,Female,70000,1
55,Male,95000,1
22,Female,35000,0
40,Female,80000,1
36,Male,60000,1
27,Male,50000,0
44,Female,75000,1
32,Female,60000,0
29,Male,55000,0
47,Female,85000,1
39,Male,70000,1
31,Male,60000,0
49,Female,90000,1
26,Female,50000,0
37,Male,70000,1
23,Male,40000,0
34,Female,65000,1
41,Male,80000,1
24,Female,45000,0
43,Male,75000,1
35,Female,70000,1
28,Male,55000,0
42,Female,80000,1
45,Male,85000,1
30,Female,60000,0
50,Male,90000,1
20,Male,35000,0
38,Female,70000,1
48,Male,80000,1
25,Female,45000,0
33,Male,70000,1
55,Female,95000,1
22,Male,30000,0
40,Male,80000,1
36,Female,65000,1
27,Female,50000,0
44,Male,75000,1
32,Male,60000,0
29,Female,55000,0
47,Male,85000,1
