square_footage,num_bedrooms,num_bathrooms,location,price
2000,3,2,suburb,250000
1500,2,2,rural,200000
3000,4,3,city,350000
1800,3,2,suburb,220000
2200,3,2,rural,270000
1600,2,1,urban,180000
2500,4,3,city,320000
1900,3,2,suburb,240000
2100,3,2,rural,260000
1700,2,1,urban,190000
2400,4,3,city,330000
2300,4,3,suburb,290000
2800,5,4,rural,400000
2000,3,2,urban,230000
2200,4,3,city,310000
2700,5,4,suburb,380000
1800,3,2,rural,250000
2100,4,3,urban,260000
2300,4,3,city,300000
2600,5,4,suburb,370000
3000,6,5,rural,450000
2200,4,3,urban,280000
2500,5,4,city,350000
2700,5,4,suburb,390000
3200,6,5,rural,470000
2400,4,3,urban,300000
2800,5,4,city,360000
3000,6,5,suburb,420000
3200,6,5,rural,490000
2600,5,4,urban,340000
2800,5,4,city,380000
3000,6,5,suburb,440000
3300,7,6,rural,500000
2700,5,4,urban,350000
2900,6,5,city,400000
3100,7,6,suburb,460000
3400,7,6,rural,520000
3000,6,5,urban,370000
3200,7,6,city,420000
3400,7,6,suburb,480000
3600,8,7,rural,550000
3100,7,6,urban,390000
3300,8,7,city,450000
3500,8,7,suburb,520000
3700,9,8,rural,580000
3300,8,7,urban,420000
3500,9,8,city,480000
3700,9,8,suburb,540000
3800,10,9,rural,600000
