square_footage,num_bedrooms,num_bathrooms,location,price
2000,3,2,City A,250000
1500,2,2,City B,200000
3000,4,3,City C,350000
1800,3,2,City A,220000
2200,3,2,City B,270000
1600,2,1,City D,180000
2500,4,3,City C,320000
1900,3,2,City A,240000
2100,3,2,City B,260000
1700,2,1,City D,190000
2400,4,3,City C,330000
2300,4,3,City A,290000
2800,5,4,City B,400000
2000,3,2,City D,230000
2200,4,3,City C,310000
2700,5,4,City A,380000
1800,3,2,City B,250000
2100,4,3,City D,260000
2300,4,3,City C,300000
2600,5,4,City A,370000
3000,6,5,City B,450000
2200,4,3,City D,280000
2500,5,4,City C,350000
2700,5,4,City A,390000
3200,6,5,City B,470000
2400,4,3,City D,300000
2800,5,4,City C,360000
3000,6,5,City A,420000
3200,6,5,City B,490000
2600,5,4,City D,340000
2800,5,4,City C,380000
3000,6,5,City A,440000
3300,7,6,City B,500000
2700,5,4,City D,350000
2900,6,5,City C,400000
3100,7,6,City A,460000
3400,7,6,City B,520000
3000,6,5,City D,370000
3200,7,6,City C,420000
3400,7,6,City A,480000
3600,8,7,City B,550000
3100,7,6,City D,390000
3300,8,7,City C,450000
3500,8,7,City A,520000
3700,9,8,City B,580000
3300,8,7,City D,420000
3500,9,8,City C,480000
3700,9,8,City A,540000
3800,10,9,City B,600000
